"task 0, stage 4, rank from 114, rank to 98, color 7",
"task 0, stage 4, rank from 115, rank to 99, color 18",
"task 0, stage 4, rank from 116, rank to 100, color 15",
"task 0, stage 4, rank from 117, rank to 101, color 29",
"task 0, stage 4, rank from 118, rank to 102, color 22",
"task 0, stage 4, rank from 119, rank to 103, color 13",
"task 0, stage 4, rank from 121, rank to 105, color 22",
"task 0, stage 4, rank from 122, rank to 106, color 28",
"task 0, stage 4, rank from 123, rank to 107, color 8",
"task 0, stage 4, rank from 124, rank to 108, color 14",
"task 0, stage 4, rank from 125, rank to 109, color 10",
"task 0, stage 4, rank from 126, rank to 110, color 13",
"task 0, stage 4, rank from 127, rank to 111, color 29",
"task 0, stage 5, rank from 0, rank to 32, color 22",
"task 0, stage 5, rank from 2, rank to 34, color 1",
"task 0, stage 5, rank from 3, rank to 35, color 10",
"task 0, stage 5, rank from 4, rank to 36, color 5",
"task 0, stage 5, rank from 5, rank to 37, color 5",
"task 0, stage 5, rank from 6, rank to 38, color 16",
"task 0, stage 5, rank from 8, rank to 40, color 6",
"task 0, stage 5, rank from 9, rank to 41, color 18",
"task 0, stage 5, rank from 10, rank to 42, color 1",
"task 0, stage 5, rank from 11, rank to 43, color 12",
"task 0, stage 5, rank from 12, rank to 44, color 18",
"task 0, stage 5, rank from 13, rank to 45, color 19",
"task 0, stage 5, rank from 15, rank to 47, color 26",
"task 0, stage 5, rank from 16, rank to 48, color 23",
"task 0, stage 5, rank from 20, rank to 52, color 15",
"task 0, stage 5, rank from 21, rank to 53, color 20",
